id_localidad,nombre,partido,municipio,cp,latitud,longitud
18631,"SAN AGUSTIN","GENERAL GUEMES",,3705,-25.8182010,-60.4524779
17850,"SAN AGUSTIN","ALMIRANTE BROWN",,3714,-25.5974636,-62.4655380
18179,"SAN ANTONIO","GENERAL GUEMES",,3705,,
17858,"SAN ANTONIO","ALMIRANTE BROWN",,3714,-25.4690499,-62.1914664
11345,"SAN BERNARDO","O HIGGINS","SAN BERNARDO",3701,-27.2863827,-60.7136230
11175,"SAN CARLOS",BERMEJO,,3522,-26.9600686,-58.6668928
11176,"SAN EDUARDO",BERMEJO,,3522,,
11177,"SAN FERNANDO",BERMEJO,,3518,,
17867,"SAN JOSE","ALMIRANTE BROWN",,3714,-25.5813141,-62.3526955
18632,"SAN JUANCITO","GENERAL GUEMES",,3705,-24.4702643,-62.2693122
18633,"SAN LORENZO","GENERAL GUEMES",,3705,-25.6957121,-61.0907421
17880,"SAN LUIS","ALMIRANTE BROWN",,3714,-25.3005314,-62.8677940
17890,"SAN MARTIN","ALMIRANTE BROWN",,3714,-25.4737129,-62.2650566
17307,"SAN MIGUEL","1 DE MAYO",,3505,,
17894,"SAN TELMO","ALMIRANTE BROWN",,3714,-25.1382244,-62.9356029
17901,"SANTA AGUEDA","ALMIRANTE BROWN",,3714,-25.2100620,-62.6691628
17909,"SANTA ELENA","ALMIRANTE BROWN",,3714,-25.3193970,-62.8188744
11190,"SANTA ELVIRA",CHACABUCO,,3731,,
11214,"SANTA MARIA","FRAY JUSTO SANTA MARIA DE ORO",,3541,,
11109,"SANTA MARTA","25 DE MAYO",,3534,-26.8455059,-59.9982113
18634,"SANTA RITA","GENERAL GUEMES",,3705,-24.5375777,-61.8330121
17915,"SANTA ROSA","ALMIRANTE BROWN",,3714,-26.0509106,-61.3102612
11217,"SANTA SYLVINA","FRAY JUSTO SANTA MARIA DE ORO","SANTA SYLVINA",3541,-27.8296318,-61.1337013
17918,"SANTA TERESA DE CARBALLO","ALMIRANTE BROWN",,3714,,
18635,"SANTO DOMINGO","GENERAL GUEMES",,3705,-24.8515968,-61.6567688
11290,"SANTOS LUGARES","LIBERTADOR GENERAL SAN MARTIN",,3531,-25.9186236,-60.0940689
11291,"SELVAS DEL RIO DE ORO","LIBERTADOR GENERAL SAN MARTIN",,3507,-26.8044756,-58.9585454
18636,"SOL DE MAYO","GENERAL GUEMES",,3705,,
11178,SOLALINDE,BERMEJO,,3524,,
11144,"TACO POZO","ALMIRANTE BROWN","TACO POZO",3714,-25.6161804,-63.2671318
11179,TACUARI,BERMEJO,,3518,-26.7539501,-58.6996841
18638,TARTAGAL,"GENERAL GUEMES",,3705,-24.2203560,-62.1486743
17488,"TERMAS DEL CERRITO",BERMEJO,,3518,,
11372,TIGRE,"SAN FERNANDO",,3500,,
11180,TIMBO,BERMEJO,,3524,,
18640,TOLDERIAS,"GENERAL GUEMES",,3705,-25.2969780,-60.5699959
18999,"TRES BOLICHES","MAYOR LUIS J FONTANA",,3540,,
11191,"TRES ESTACAS",CHACABUCO,CHARATA,3731,-26.9150276,-61.6388931
11087,"TRES HORQUETAS","1 DE MAYO","COLONIA BENITEZ",3505,-27.3553036,-58.9797060
11181,"TRES HORQUETAS",BERMEJO,,3522,-26.9654475,-58.5983553
11323,"TRES ISLETAS",MAIPU,"TRES ISLETAS",3703,-26.3376293,-60.4259300
18168,"TRES MOJONES","FRAY JUSTO SANTA MARIA DE ORO",,3733,-27.9743518,-61.5162388
18171,"TRES MONJES","FRAY JUSTO SANTA MARIA DE ORO",,3541,,
18925,"TRES NACIONES",MAIPU,,3703,,
11110,"TRES PALMAS","25 DE MAYO",,3534,,
18642,"TRES POZOS","GENERAL GUEMES",,3705,-24.3078030,-61.9001832
11397,TROPEZON,"SAN FERNANDO",,3500,,
11340,TUCURU,"MAYOR LUIS J FONTANA",,3540,,
17920,URUNDEL,"ALMIRANTE BROWN",,3714,-25.6440144,-62.6220894
11182,VELAZ,BERMEJO,,3526,,
18172,"VENADOS GRANDES","FRAY JUSTO SANTA MARIA DE ORO",,3733,-27.8181539,-61.3815664
11292,VENEZUELA,"LIBERTADOR GENERAL SAN MARTIN",,3509,,
11101,VIBORAS,"12 DE OCTUBRE",,3734,,
11398,VICENTINI,"SAN FERNANDO",,3514,-27.4160760,-59.0504349
11373,"VILLA ALTA","SAN FERNANDO",,3500,,
11341,"VILLA ANGELA","MAYOR LUIS J FONTANA","VILLA ANGELA",3540,-27.5770588,-60.7260780
11399,"VILLA BARBERAN","SAN FERNANDO",,3500,,
11408,"VILLA BERTHET","SAN LORENZO","VILLA BERTHET",3545,-27.2901019,-60.4171073
18833,"VILLA DOS","LIBERTADOR GENERAL SAN MARTIN",,3509,,
11400,"VILLA EL DORADO","SAN FERNANDO",,3500,,
11368,"VILLA EL PALMAR",QUITILIPI,QUITILIPI,3530,-26.4551186,-60.1646166
11401,"VILLA FORESTACION","SAN FERNANDO",,3503,,
11310,"VILLA JALON",LIBERTAD,,3505,-27.3441630,-59.0915412
11402,"VILLA JUAN DE GARAY","SAN FERNANDO",,3500,,
11403,"VILLA LIBERTAD","SAN FERNANDO",,3500,,
19248,"VILLA PARANACITO","SAN FERNANDO",,3500,,
27982,"VILLA RIO BERMEJITO","GENERAL GUEMES","VILLA RIO BERMEJITO",3703,-25.6424410,-60.2629440
27624,"VILLA SARMIENTO","SAN FERNANDO",,3514,,
17213,WELHERS,"12 DE OCTUBRE",,3732,,
11257,WICHI,"GENERAL GUEMES","EL SAUZALITO",3705,-24.6182556,-61.4470634
17494,YATAY,BERMEJO,,3518,,
18834,ZAPARINQUI,"GENERAL GUEMES",,3705,-26.0673624,-60.5633873
11218,ZUBERBUHLER,"2 DE ABRIL","HERMOSO CAMPO",3733,-27.7154410,-61.3651010
