id_localidad,nombre,partido,municipio,codigo_postal,latitud,longitud
2255,SASTRE,"SAN MARTIN",SASTRE,2440,-31.7669868,-61.8294373
1865,"SAUCE VIEJO","LA CAPITAL","SAUCE VIEJO",3017,-31.7630683,-60.8898606
18407,SCHIFFNER,"SAN MARTIN",,2451,-31.9713039,-62.0565567
2220,SEMINO,"SAN LORENZO",,2138,,
1465,SERODINO,IRIONDO,SERODINO,2216,-32.6085625,-60.9475212
1866,SETUBAL,"LA CAPITAL",,3014,,
17491,"SIERRA PEREYRA",CASTELLANOS,,2300,,
17217,"SIN PEREZA","9 DE JULIO",,3060,,
2153,"SOL DE MAYO","SAN JUSTO",,3048,,
2101,SOLDINI,ROSARIO,SOLDINI,2107,-33.0288391,-60.7544861
2181,SOLEDAD,"SAN CRISTOBAL",SOLEDAD,3025,-30.6225540,-60.9166110
2182,SOUTOMAYOR,"LAS COLONIAS",SOUTOMAYOR,3025,-30.9363573,-61.1640843
1360,STEPHENSON,CONSTITUCION,,2103,-33.4178568,-60.5572137
1411,SUARDI,"SAN CRISTOBAL",SUARDI,2349,-30.5342197,-61.9592209
1272,SUNCHALES,CASTELLANOS,SUNCHALES,2322,-30.9429359,-61.5605431
1273,SUSANA,CASTELLANOS,SUSANA,2301,-31.3554287,-61.5172691
2047,TACUARENDI,"GENERAL OBLIGADO",TACUARENDI,3587,-28.4172916,-59.2544479
1274,TACURAL,CASTELLANOS,TACURAL,2324,-30.8450451,-61.5933685
2256,TAIS,"SAN MARTIN",,2535,,
2102,TALLERES,ROSARIO,,2121,,
1940,TARRAGONA,"GENERAL LOPEZ",,6103,-34.1886778,-62.5398328
2302,TARTAGAL,VERA,TARTAGAL,3565,-28.6722100,-59.8468200
1941,TEODELINA,"GENERAL LOPEZ",TEODELINA,6009,-34.1901131,-61.5289574
1361,THEOBALD,CONSTITUCION,THEOBALD,2918,-33.3095055,-60.3107109
2221,TIMBUES,"SAN LORENZO",TIMBUES,2204,-32.6654663,-60.7931404
2303,TOBA,VERA,TOBA,3551,-29.2675880,-60.1726560
1333,"TOMAS ALVA EDISON","LAS COLONIAS",,3023,,
1164,TORTUGAS,BELGRANO,TORTUGAS,2512,-32.7442474,-61.8204918
1146,TOSTADO,"9 DE JULIO",TOSTADO,3060,-29.2304611,-61.7722969
1466,TOTORAS,IRIONDO,TOTORAS,2144,-32.5842705,-61.1677361
2257,TRAILL,"SAN MARTIN",TRAILL,2456,-31.9225990,-61.7024470
18372,"TRES BOCAS","GENERAL OBLIGADO",,3560,-28.6871452,-59.6649054
17497,"TRES COLONIAS",CASTELLANOS,,2300,,
1362,"TRES ESQUINAS",CONSTITUCION,,2921,,
1147,"TRES POZOS","9 DE JULIO",,3061,-29.1669464,-61.1574669
2222,"TTE HIPOLITO BOUCHARD","SAN LORENZO",,2156,,
2103,URANGA,ROSARIO,URANGA,2105,-33.2645300,-60.7083346
1412,"VEINTICUATRO CASAS","SAN CRISTOBAL",,2313,,
2304,VELAZQUEZ,VERA,,3550,,
1942,"VENADO TUERTO","GENERAL LOPEZ","VENADO TUERTO",2600,-33.7437553,-61.9700317
2305,VERA,VERA,VERA,3550,-29.4457455,-60.2166443
2183,"VERA MUJICA","SAN JUSTO",,3040,-30.8597430,-60.4421868
2184,"VERA Y PINTADO","SAN JUSTO","VERA Y PINTADO",3054,-30.1436430,-60.3373530
2223,"VICENTE ECHEVARRIA","SAN LORENZO",,2142,,
2048,"VICTOR MANUEL SEGUNDO","GENERAL OBLIGADO",,3563,,
2185,VIDELA,"SAN JUSTO",VIDELA,3048,-30.9440098,-60.6542740
1275,VILA,CASTELLANOS,VILA,2301,-31.1886959,-61.8342743
